,News Account,Tweet,Tweet Date,VADER Compound,VADER Negative,VADER Neutral,VADER Positive
0,The New York Times,This video is the first piece in a series about these residents. Their stories offer a look at how people are confr… https://t.co/NLB5u8MLra,Mon Mar 19 19:02:38 +0000 2018,0.0,0.0,0.0,0.0
1,The New York Times,"In the 6 months since Harvey, The New York Times followed several families in the Cinco Ranch community as they str… https://t.co/naAH2tvhPx",Mon Mar 19 19:01:46 +0000 2018,0.0,0.0,0.0,0.0
2,The New York Times,The homes in Cinco Ranch sat on land that had been designed to flood — a fact that wasn’t widely publicized when a… https://t.co/qAwdPWE5WV,Mon Mar 19 19:00:57 +0000 2018,0.0,0.0,0.0,0.0
3,The New York Times,"After Hurricane Harvey swamped Houston, some residents of one suburban area were shocked to learn that the flooding… https://t.co/QYRyJRcO7D",Mon Mar 19 19:00:10 +0000 2018,-0.3182,0.113,0.0,0.0
4,The New York Times,"RT @tiffkhsu: Claire's, where I and all of my friends and all of their friends got ears pierced as teenagers, is filing for Chapter 11 bank…",Mon Mar 19 18:50:06 +0000 2018,0.7351,0.0,0.212,0.212
5,The New York Times,Does New York want another celebrity in public office? The actress Cynthia Nixon hopes so: She just entered the rac… https://t.co/tmzrIs6quF,Mon Mar 19 18:40:22 +0000 2018,0.4767,0.0,0.177,0.177
6,The New York Times,"RT @julieturkewitz: For much of our country's history, native people weren't permitted to vote. Now there are a historic number of indigeno…",Mon Mar 19 18:40:04 +0000 2018,0.0772,0.0,0.061,0.061
7,The New York Times,"4 bombings this month in Austin, including one on Sunday night, have killed 2 people and injured 4. Here's what we… https://t.co/bqa42mRTn7",Mon Mar 19 18:30:04 +0000 2018,-0.802,0.286,0.0,0.0
8,The New York Times,Another reader reacts to the news that a woman died after being hit by a self-driving Uber car… https://t.co/z1uax6tzgG,Mon Mar 19 18:21:43 +0000 2018,-0.5574,0.184,0.0,0.0
9,The New York Times,A New York Times reader reacts to the news that a woman died after being hit by a self-driving Uber car… https://t.co/1Tm0f1qpdM,Mon Mar 19 18:20:05 +0000 2018,-0.5574,0.167,0.0,0.0
10,The New York Times,You'll probably need to do a little shopping to make this traditional dish. But it's well worth it. https://t.co/8sjpx5xcn7,Mon Mar 19 18:10:09 +0000 2018,0.4588,0.0,0.2,0.2
